Isothermal P-T-X-Y Data : ETHANOL + WATER at 333.15K
Reference	   Kurihara,K., T.Minoura, K.Takeda and K.Kojima, J.Chem.Eng.Data, 40, 679 (1995)

Antoine Line1-Component1 Line2-Component2
5.24677	1598.673	-46.424
5.20389	1733.926	-39.485	

  T,K	 P,kPa	 X	 Y
  333.15	31.647	   0.0742	   0.4130
  333.15	34.540	   0.1071	   0.4742
  333.15	36.840	   0.1511	   0.5196
  333.15	37.611	   0.1705	   0.5326
  333.15	38.387	   0.1899	   0.5473
  333.15	38.999	   0.2133	   0.5587
  333.15	40.175	   0.2606	   0.5814
  333.15	41.230	   0.3168	   0.6006
  333.15	42.157	   0.3813	   0.6209
  333.15	42.635	   0.4036	   0.6316
  333.15	43.368	   0.4548	   0.6502
  333.15	43.730	   0.4794	   0.6688
  333.15	43.756	   0.4808	   0.6682
  333.15	44.336	   0.5298	   0.6788
  333.15	44.447	   0.5390	   0.6887
  333.15	44.935	   0.5800	   0.7070
  333.15	45.282	   0.6141	   0.7175
  333.15	45.557	   0.6417	   0.7333
  333.15	45.881	   0.6764	   0.7468
  333.15	46.218	   0.7156	   0.7674
  333.15	46.338	   0.7347	   0.7834
  333.15	46.547	   0.7656	   0.7968
  333.15	46.868	   0.8246	   0.8395
  333.15	46.915	   0.8353	   0.8477
  333.15	46.998	   0.8538	   0.8616
  333.15	46.987	   0.8646	   0.8715
  333.15	47.020	   0.8823	   0.8860
  333.15	47.045	   0.8873	   0.8908
  333.15	47.048	   0.8966	   0.8987
  333.15	47.060	   0.9091	   0.9095
  333.15	47.055	   0.9154	   0.9151
  333.15	47.055	   0.9206	   0.9195
  333.15	47.044	   0.9255	   0.9242
  333.15	47.026	   0.9458	   0.9444
  333.15	47.039	   0.9479	   0.9467
  333.15	46.994	   0.9583	   0.9562
