Exp Data	Synfuel
0			296
5			322
10			327
20			333
30			338
40			342
50			365
60			372
70			378
80			389
90			410
95			427
100			460

Comp#	V(cc/mol)	TB(K)			Synfuel
2		99.6291		272.6109		0
4		115.6307	301.015			0.1786
5		114.4364	309.2137		0
3		93.5829		322.389			0
8		118.1800	328.2481		0
7		124.2611	336.6103		0
1		58.0675		351.4257		0.1922
6		107.5274	353.8453		0.2177
11		164.2218	372.3563		0.1265
9		105.7864	383.7332		0.1424
12		161.7501	398.8127		0
10		121.8205	409.3097		0.0906
15		194.0178	447.2679		0.0451
13		133.9930	449.26			0
14		124.7829	491.1301		0.0069
