NAME,formula,CAS-nr.,Tc / K,Pc / kPa,vc / cm3 mol-1,??i
ACETALDEHYDE,C2H4O,75-07-0,461,5572.875,154,0.303
ACETAMIDE,C2H5NO,60-35-5,761,6600.31,215,0.451
ACETONITRILE,C2H3N,1975-05-08,548,4833.203,173,0.321
ACETONE,C3H6O,67-64-1,508.1,4701.48,209,0.309
ETHYLENEDIAMINE,C2H8N2,107-15-3,593,6282.15,206,0.51
"1,2-DIBROMOETHANE",C2H4Br2,106-93-4,646,5335.774,252,0.225
ETHYL BROMIDE,C2H5Br,74-96-4,503.8,6231.488,215,0.254
"1,2-ETHANEDIOL",C2H6O2,107-21-1,720,8200.232,186,0.5254
ETHYL IODIDE,C2H5I,1975-03-06,565,5542.478,240,0.161
ETHANOL,C2H6O,64-17-5,516.2,6383.475,167,0.635
DIETHYL ETHER,C4H10O,60-29-7,466.7,3637.568,280,0.281
ETHYLENE OXIDE,C2H4O,75-21-8,469,7194.075,140,0.2
2-PROPEN-1-OL,C3H6O,107-18-6,545,5714.73,203,0.5717
FORMIC ACID,CH2O2,64-18-6,588,5810,118,0.3222
FORMIC ACID ETHYL ESTER,C3H6O2,109-94-4,508.4,4742.01,229,0.283
ANILINE,C6H7N,62-53-3,699,5309.43,270,0.382
METHYL PHENYL ETHER,C7H8O,100-66-3,647.4,4174.59,341,0.3288
2-METHYLPYRIDINE,C6H7N,0109-06-08,621,4600.155,335,0.3
ALPHA-PINENE,C10H16,80-56-8,630,2887.763,484.5,0.3228
ETHYL ACETATE,C4H8O2,141-78-6,523.2,3830.085,286,0.363
2-BUTANOL,C4H10O,78-92-2,536,4194.855,268,0.576
BENZYL ALCOHOL,C7H8O,100-51-6,715,4300,334,0.3872
ETHYLBENZENE,C8H10,100-41-4,617.1,3607.17,374,0.301
BROMOBENZENE,C6H5Br,108-86-1,670,4519.095,324,0.249
CHLOROBENZENE,C6H5Cl,108-90-7,632.4,4519.095,308,0.249
